劫,gip3
努,nou5
劬,keoi4
劭,siu6
劮,jat6
劼,kit3
劾,hat6
劻,hong1
勂,hou4
勀,hak1
勃,but6
勁,ging3
勁,ging6
勇,jung5
勉,min5
勍,king4
勓,faai3
務,mou6
勗,juk1
勒,laak6
勒,lak6
動,dung6
勘,ham1
勘,ham3
勖,juk1
勝,sing1
勝,sing3
勛,fan1
勞,lou4
勞,lou6
勣,zik1
勦,caau1
勦,caau4
勦,ziu2
勤,kan4
勢,sai3
募,mou6
勫,faan4
勩,jai6
勩,ji6
勱,maai6
勯,daan1
勰,hip3
勰,hip6
勳,fan1
勵,lai6
勴,leoi6
勷,joeng4
勷,soeng1
勸,hyun3
勺,soek3
勺,zoek3
勾,au1
勾,gau1
勾,ngau1
勻,wan4
勿,mat6
勼,gau1
勼,kau1
匆,cung1
包,baau1
匈,hung1
匉,paang1
匉,ping1
匊,guk1
匋,tou4
匍,pou4
匎,am1
匏,paau4
匐,baak6
匐,fuk6
匒,daap3
匑,gung1
匕,bei2
匕,bei6
化,faa1
化,faa3
北,bak1
北,bui3
匙,ci4
匙,si4
匚,fo1
匚,fong1
匜,ji4
匝,zaap3
匟,kong3
匢,fat1
匠,zoeng6
匡,hong1
匣,haap6
匪,fei2
匭,gwai2
匯,wui6
匰,daan1
匱,gwai6
匴,syun3
匷,keoi4
匹,pat1
匼,am3
匼,hap1
匼,o1
匽,jin2
區,au1
區,ngau1
區,keoi1
匾,bin2
匿,nik1
匿,nik6
十,sap6
千,cin1
升,sing1
卅,saa1
卅,saa4
午,ng5
卉,wai2
卉,wai5
半,bun3
卌,se3
卍,maan6
協,hip3
協,hip6
卒,zeot1
卒,cyut3
卓,coek3
卓,zoek3
卑,bei1
南,naa1
南,naam4
博,bok3
卜,baak6
卜,buk1
卞,bin6
卡,kaa1
卡,kaa2
卡,zaap6
卡,kaat1
占,zim1
占,zim3
卣,jau5
卦,gwaa3
卬,joeng5
卬,ngong4
卯,maau5
卯,mau3
卮,zi1
印,jan3
印,ngan3
危,ngai4
卲,siu6
即,zik1
卵,leon2
卵,leon5
卵,lo5
卸,se3
卹,seot1
卷,gyun2
卷,gyun3
卷,kyun4
巹,gan2
卻,koek3
卼,ngat6
卿,hing1
厂,am1
厂,ngam1
厂,ho1
厂,hon2
厂,hon3
厂,ngon6
厂,cong2
厄,aak1
厄,ak1
厄,ngak1
厊,aa1
厊,ngaa5
厏,zaa3
厎,dai2
厎,zi2
厒,hip3
厔,zat1
厔,zat6
厙,se3
厖,mong4
厖,pong4
厗,tai4
厘,lei4
厚,hau5
原,jyun4
原,jyun5
厝,cou3
厞,fei6
厜,seoi4
厤,lik6
厥,kyut3
厧,din1
厭,jim1
厭,jim3
厬,gwai2
厲,laai3
厲,laai6
厲,lai6
厴,jim2
厹,jau4
厹,kau4
去,heoi2
去,heoi3
參,caam1
參,saam1
參,cam1
參,sam1
又,jau6
叉,caa1
夃,jing4
夃,gu2
反,faan1
反,faan2
反,faan3
及,gap6
及,kap6
友,jau5
取,ceoi2
叔,suk1
受,sau6
叟,sau2
叛,bun6
叡,haai6
叡,jeoi6
叢,cung4
口,hau2
叭,baa1
只,zek3
只,zi2
叮,ding1
叫,giu3
召,siu6
召,ziu1
召,ziu6
司,si1
史,si2
叨,dou1
叨,tou1
叻,lak6
叻,lek1
叻,lik1
右,jau6
可,hak1
可,ho2
叱,cik1
台,ji4
台,toi4
叼,diu1
叩,kau3
古,gu2
另,ling6
句,gau1
句,ngau1
句,geoi3
叵,po2
同,tung4
吒,zaa1
吒,zaa3
各,gok3
吋,cyun3
后,hau6
吇,zi2
吁,heoi1
吁,jyu6
名,meng2
名,meng4
名,ming4
吏,lei6
合,gap3
合,hap6
吐,dat6
吐,tou2
吐,tou3
吆,jiu1
吉,gat1
吊,diu3
吃,jaak3
吃,gat1
吃,hat1
吃,hek3
向,hoeng3
吪,faa4
吪,ngo4
含,ham4
吼,haau1
吼,hau2
吼,hau3
吳,ng4
吾,ngaa4
吾,ng4
吾,jyu4
吱,gei1
吱,zi1
呆,daai1
呆,ngoi4
君,gwan1
吙,fo2
呔,taai1
呔,toi2
吞,tan1
吩,fan1
吠,fai6
呏,sing1
吨,deon1
否,fau2
否,pei2
否,pei5
吰,wang4
告,gou3
告,guk1
吮,seon5
吮,cyun5
吮,syun5
呀,aa1
呀,haa1
吟,jam4
吟,ngam4
吤,gaai3
吤,haai6
吤,go3
吥,bat1
呁,gan3
呂,leoi5
吶,naap6
吶,nat6
吶,neot6
呅,man5
呅,mui4
吵,caau2
吜,cau2
吷,hyut3
吷,kyut3
吝,leon6
吭,hang1
吭,hong4
听,jan5
听,teng1
听,ting1
听,ting3
吽,hau1
吽,hau2
吽,ngau6
吽,hung1
呈,cing4
呇,hei2
吸,kap1
吧,baa1
吧,baa6
呃,ak1
呃,ngak1
吹,ceoi1
吹,ceoi3
呎,cek3
吘,ngau5
吻,man5
呥,jam1
呥,jim4
咁,gam2
咁,gam3
咖,gaa3
咖,kaa1
呬,hei3
呻,san1
呧,dai2
呿,heoi3
呿,keoi1
咐,fu3
咐,fu6
呦,jau1
呤,ling4
呤,ling5
呢,ne1
呢,nei1
呢,nei4
呢,ni1
命,meng6
命,ming6
味,mei6
呴,hau3
呴,heoi1
呴,jyu3
呷,haap3
呣,m2
呣,m4
呣,m6
呱,gwaa1
呱,gwaa2
呱,waa1
呱,gu1
咕,gu1
呺,hiu1
呺,hou4
咆,paau3
咆,paau4
呠,pan3
呸,pei1
咎,gau3
咎,gou1
