剿,chaau1
剿,jiu2
剽,piu3
剽,piu5
剸,tyun4
剸,jyun1
剷,chaan2
剻,fau4
劁,chiu4
劂,gyut3
劂,kyut3
劀,gwaat3
劃,waak6
劊,kui2
劍,gim3
劋,chaau1
劋,jiu2
劉,lau4
劈,pek3
劈,pek6
劈,pik1
劇,kek6
劌,gwai3
劑,jai1
劑,jai6
劓,yi6
劖,chaam4
劖,chaam5
劗,jin2
劗,jyun1
劘,mo4
劙,lai5
劙,lai6
力,lik6
加,ga1
加,ga3
功,gung1
劦,hip6
劣,lyut3
劣,lyut6
助,jo6
劫,gip3
努,nou5
劬,keui4
劭,siu6
劮,yat6
劼,kit3
劾,hat6
劻,hong1
勂,hou4
勀,hak1
勃,but6
勁,ging3
勁,ging6
勇,yung5
勉,min5
勍,king4
勓,faai3
務,mou6
勗,yuk1
勒,laak6
勒,lak6
動,dung6
勘,ham1
勘,ham3
勖,yuk1
勝,sing1
勝,sing3
勛,fan1
勞,lou4
勞,lou6
勣,jik1
勦,chaau1
勦,chaau4
勦,jiu2
勤,kan4
勢,sai3
募,mou6
勫,faan4
勩,yai6
勩,yi6
勱,maai6
勯,daan1
勰,hip3
勰,hip6
勳,fan1
勵,lai6
勴,leui6
勷,yeung4
勷,seung1
勸,hyun3
勺,seuk3
勺,jeuk3
勾,au1
勾,gau1
勾,ngau1
勻,wan4
勿,mat6
勼,gau1
勼,kau1
匆,chung1
包,baau1
匈,hung1
匉,paang1
匉,ping1
匊,guk1
匋,tou4
匍,pou4
匎,am1
匏,paau4
匐,baak6
匐,fuk6
匒,daap3
匑,gung1
匕,bei2
匕,bei6
化,fa1
化,fa3
北,bak1
北,bui3
匙,chi4
匙,si4
匚,fo1
匚,fong1
匜,yi4
匝,jaap3
匟,kong3
匢,fat1
匠,jeung6
匡,hong1
匣,haap6
匪,fei2
匭,gwai2
匯,wui6
匰,daan1
匱,gwai6
匴,syun3
匷,keui4
匹,pat1
匼,am3
匼,hap1
匼,o1
匽,yin2
區,au1
區,ngau1
區,keui1
匾,bin2
匿,nik1
匿,nik6
十,sap6
千,chin1
升,sing1
卅,sa1
卅,sa4
午,ng5
卉,wai2
卉,wai5
半,bun3
卌,se3
卍,maan6
協,hip3
協,hip6
卒,jeut1
卒,chyut3
卓,cheuk3
卓,jeuk3
卑,bei1
南,na1
南,naam4
博,bok3
卜,baak6
卜,buk1
卞,bin6
卡,ka1
卡,ka2
卡,jaap6
卡,kaat1
占,jim1
占,jim3
卣,yau5
卦,gwa3
卬,yeung5
卬,ngong4
卯,maau5
卯,mau3
卮,ji1
印,yan3
印,ngan3
危,ngai4
卲,siu6
即,jik1
卵,leun2
卵,leun5
卵,lo5
卸,se3
卹,seut1
卷,gyun2
卷,gyun3
卷,kyun4
巹,gan2
卻,keuk3
卼,ngat6
卿,hing1
厂,am1
厂,ngam1
厂,ho1
厂,hon2
厂,hon3
厂,ngon6
厂,chong2
厄,aak1
厄,ak1
厄,ngak1
厊,a1
厊,nga5
厏,ja3
厎,dai2
厎,ji2
厒,hip3
厔,jat1
厔,jat6
厙,se3
厖,mong4
厖,pong4
厗,tai4
厘,lei4
厚,hau5
原,yun4
原,yun5
厝,chou3
厞,fei6
厜,seui4
厤,lik6
厥,kyut3
厧,din1
厭,yim1
厭,yim3
厬,gwai2
厲,laai3
厲,laai6
厲,lai6
厴,yim2
厹,yau4
厹,kau4
去,heui2
去,heui3
參,chaam1
參,saam1
參,cham1
參,sam1
又,yau6
叉,cha1
夃,ying4
夃,gu2
反,faan1
反,faan2
反,faan3
及,gap6
及,kap6
友,yau5
取,cheui2
叔,suk1
受,sau6
叟,sau2
叛,bun6
叡,haai6
叡,yeui6
叢,chung4
口,hau2
叭,ba1
只,jek3
只,ji2
叮,ding1
叫,giu3
召,siu6
召,jiu1
召,jiu6
司,si1
史,si2
叨,dou1
叨,tou1
叻,lak6
叻,lek1
叻,lik1
右,yau6
可,hak1
可,ho2
叱,chik1
台,yi4
台,toi4
叼,diu1
叩,kau3
古,gu2
另,ling6
句,gau1
句,ngau1
句,geui3
叵,po2
同,tung4
吒,ja1
吒,ja3
各,gok3
吋,chyun3
后,hau6
吇,ji2
